_	a	determiner			lehilahy sy vehivavy	a man and a woman
helioma	helium	science			misy protona 2 ao amin'ny helioma (He)	helium (He) has 2 protons
hena	meat	noun			henan'osy	goat meat
henatra	shame	noun			henatra sy alahelo	shame and disgrace
henatra	shyness	noun			tsy manan-kenatra izy	he has no shyness
herinandro	week	noun			ity herinandro ity	this week
herinaratra	electricity	science			misy ny herinaratra rehefa  misy ny fifindran'ny fahana avy amin'ny toerana iray ho amin'ny toerana vaovao iray	electricity is when charges go from one place to a new place
herintsaina	courage	noun			manana herintsina izy	she has courage
hery	energy	science			azonao ovana ho hery ny lanja	you can change mass into energy
hery	strength	noun			hery sy fahefana	strength and power
hetaheta	thirst	noun			hanoanana sy hetaheta	hunger and thirst
hetra	levy	noun			aloavy ny hetra	pay a levy
hetraketraka	sabotage	noun			hetraketraka izany	this is sabotage
hety	scissors	noun			omeo hety aho	give me the scissors
hidrozena	hydrogen	science			misy protona 1 ao amin'ny hidrozena (H)	hydrogen (H) has 1 proton
hisatra	brake	noun			hisatry ny fiara	brake of a car
hoavy	future	noun			mahita ho avy mamirapiratra ho anao aho	I see luxury in your future
hoditr'ombivavy	cowhide	noun			waache sy hoditr'ombivavy	waache and cowhide
hoditra	skin	noun			hoditra maina	dry skin
hoho	nail	noun		a horny covering of the ends of animal fingers and toes	hohon-tanana sy hohon-tongotra	finger and toe nails
holatra	mushroom	noun			lasopy holatra	mushroom soup
holatra	scar	noun			misy holatra ny takolany	her cheek has a scar
hopitaly	hospital	noun			mandehana any amin'ny hopitaly	go to a hospital
horohorontany	earthquake	noun			horohorontany izany	it is an earthquake
